id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47138076,Porto Pool Spot E,380820783,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.150578,-8.614064,Entire home/apt,124,3,9,2021-10-08,2.39,2,361,9,113489/AL
47152887,Cozy flat with balcony view at Sé & Luis I Bridge,281649544,Paula & Rafael,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14407,-8.61145,Entire home/apt,74,1,52,2021-08-18,5.32,24,146,52,113431/AL
47153276,Stunning Modern Flat w/ Terrace Miramar  | Gaia,12730028,Host Wise,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07114,-8.65439,Entire home/apt,111,2,7,2021-08-21,2.26,111,265,7,115165/AL
47155344,The Melilla @ Free inside Parking + Lift.,2730238,Daniel Y Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14466,-8.60493,Entire home/apt,79,2,0,,,8,219,0,113326/AL
47192045,"Delicioso, aconchegante e tranquilo",381159075,Maria,PORTO,Ramalde,41.16779,-8.62689,Private room,27,2,1,2020-12-30,0.10,2,365,1,Exempt
47219817,Galerias Apart,100532069,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1486,-8.61435,Entire home/apt,36,1,7,2021-09-18,1.37,3,305,7,87533/AL
47252025,Wood Stories - Nature Getaway (near Thermal Spa),44190340,Diana,SANTA MARIA DA FEIRA,Caldas de São Jorge e de Pigeiros,40.96882,-8.51319,Entire home/apt,65,2,7,2021-07-12,2.59,3,178,7,
47254098,INATIVO,381159075,Maria,PORTO,Ramalde,41.16836,-8.62618,Private room,20,2,0,,,2,365,0,Exempt
47269347,Oliveirinha Apartment,40778205,Raquel,PORTO,Bonfim,41.147942,-8.601964,Entire home/apt,54,2,2,2021-09-13,0.75,1,228,2,117930/AL
47270616,"Appartement spacieux, tt confort, proche de plages",338333367,Teresa,SANTA MARIA DA FEIRA,Santa Maria de Lamas,40.9719,-8.57118,Entire home/apt,50,3,1,2021-08-06,0.42,1,349,1,Exempt
47309573,Fontinha Square Apartments 1,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15528,-8.60662,Entire home/apt,65,1,3,2021-10-03,0.51,56,364,3,101400/AL
47310834,Travel & Live Santa Catarina room 1,182806546,Travel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1485,-8.6065,Private room,40,1,25,2021-06-04,4.12,17,311,25,113986/AL.
47323760,Studio 3 * bnapartments Loftpuzzle,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14566,-8.61214,Entire home/apt,38,2,1,2021-05-09,0.19,41,0,1,12696/AL
47329170,Gallery 92 · Garden house +Free Breakfast,71506208,Carolina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14913,-8.62283,Entire home/apt,50,1,18,2021-09-24,1.87,31,326,18,113780/AL
47346936,Porto Cathedral II - Clean & Safe,343562707,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1438,-8.60444,Entire home/apt,120,2,13,2021-09-15,2.69,2,34,13,111675/AL
47347948,Solar Studio Fontainhas - Clean & Safe,346767196,Mauro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14435,-8.60351,Entire home/apt,45,3,1,2021-08-23,0.55,2,36,1,113984/AL
47350600,Estudio4 Pensil -7 Bridges - Porto-houses&suites,17289096,Manuela,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14864,-8.61431,Entire home/apt,63,1,4,2021-06-27,1.02,13,158,4,114018/AL
47352123,Gallery 92 • Spacious Duplex +Garden +Breakfast,71506208,Carolina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14913,-8.62283,Entire home/apt,59,1,11,2021-09-11,2.16,31,344,11,113783/AL
47353798,Gallery 92 • Spacious 3BD for families [Balcony],71506208,Carolina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14913,-8.62283,Entire home/apt,93,1,22,2021-08-16,6.53,31,138,22,113785/AL
47354094,Gallery 92 • 2BD Duplex +Balcony +Free Breakfast,71506208,Carolina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14913,-8.62283,Entire home/apt,52,1,10,2021-09-19,2.14,31,50,10,113789/AL
47369813,Romantic Apartment at Center - Flowerstreet54,228852598,Ana Cristina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14285,-8.61369,Entire home/apt,60,3,1,2021-08-27,0.60,2,222,1,40525/AL
47400115,Fontinha Square Apartments 2 & GARDEN,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15593,-8.60577,Entire home/apt,82,1,1,2021-06-10,0.23,56,343,1,101400/AL
47426705,Exquisite urban front beach house,382860705,Alexandra,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.1663,-8.68736,Entire home/apt,850,2,2,2021-05-19,1.11,1,358,2,114096/AL
47437742,Studio 4 * bnapartments Loftpuzzle,2589623,Rocha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14566,-8.61214,Entire home/apt,38,2,1,2021-04-30,0.18,41,0,1,5725/AL
